code,ticker_code,name,market_product_category,source_date
268A,268A.T,リガク・ホールディングス,プライム（内国株式）,2026-02-28
2692,2692.T,伊藤忠食品,プライム（内国株式）,2026-02-28
2693,2693.T,YKT,スタンダード（内国株式）,2026-02-28
2694,2694.T,焼肉坂井ホールディングス,スタンダード（内国株式）,2026-02-28
2695,2695.T,くら寿司,プライム（内国株式）,2026-02-28
2698,2698.T,キャンドゥ,スタンダード（内国株式）,2026-02-28
2700,2700.T,木徳神糧,スタンダード（内国株式）,2026-02-28
2702,2702.T,日本マクドナルドホールディングス,スタンダード（内国株式）,2026-02-28
2705,2705.T,大戸屋ホールディングス,スタンダード（内国株式）,2026-02-28
2708,2708.T,久世,スタンダード（内国株式）,2026-02-28
2721,2721.T,ジェイホールディングス,スタンダード（内国株式）,2026-02-28
2722,2722.T,IKホールディングス,スタンダード（内国株式）,2026-02-28
2726,2726.T,パルグループホールディングス,プライム（内国株式）,2026-02-28
2730,2730.T,エディオン,プライム（内国株式）,2026-02-28
2733,2733.T,あらた,プライム（内国株式）,2026-02-28
2734,2734.T,サーラコーポレーション,プライム（内国株式）,2026-02-28
2735,2735.T,ワッツ,スタンダード（内国株式）,2026-02-28
2736,2736.T,フェスタリアホールディングス,スタンダード（内国株式）,2026-02-28
2737,2737.T,トーメンデバイス,プライム（内国株式）,2026-02-28
2742,2742.T,ハローズ,プライム（内国株式）,2026-02-28
2747,2747.T,北雄ラッキー,スタンダード（内国株式）,2026-02-28
2749,2749.T,JPホールディングス,プライム（内国株式）,2026-02-28
274A,274A.T,ガーデン,スタンダード（内国株式）,2026-02-28
2750,2750.T,石光商事,スタンダード（内国株式）,2026-02-28
2751,2751.T,テンポスホールディングス,スタンダード（内国株式）,2026-02-28
2752,2752.T,フジオフードグループ本社,プライム（内国株式）,2026-02-28
2753,2753.T,あみやき亭,プライム（内国株式）,2026-02-28
2760,2760.T,東京エレクトロン デバイス,プライム（内国株式）,2026-02-28
2762,2762.T,SANKO MARKETING FOODS,スタンダード（内国株式）,2026-02-28
2763,2763.T,エフティグループ,スタンダード（内国株式）,2026-02-28
2764,2764.T,ひらまつ,スタンダード（内国株式）,2026-02-28
2767,2767.T,円谷フィールズホールディングス,プライム（内国株式）,2026-02-28
2768,2768.T,双日,プライム（内国株式）,2026-02-28
